rating,review
4.0,
5.0,
5.0,Very nice colors and nice clothes and Good fitting size
4.1,Kurti is very good 👌👌👌 Best for daily wear ❤️ kapda bhi thik hai... Aap log purchase kr sakte ho... Apne size se bada size hi order krein. After wash kurti tight ho jayegi.... U can purchase this black kurti 👌👌👌👌
4.4,I bought this Kurti for 196 rs and it is worth the money... But I'm not sure what happens after washing... Otherwise it's a good choice.. it looks as in the picture
3.6,Jaisa dikhaya tha same to same aaya hai fabric bhi accha hai colour bhi same hai size thoda sa bada hai phir bhi thik hai
3.8,Nice kurti kafi axa kurt ha kapda v Bhot acha ha size perfect ha🥰🥰💞💞
4.1,Design to bhot acha he aor dress bhi kafi Sundar hai kapda bhi bahut achcha size bhi perfect hai thank you meshow 🥰🥰🥰🥰🥰🥰🥰🥰❤️🙌💖
4.0,Calth super mitireal super siz super pit drash chala bagundhi
4.1,I love this suit and this suit quality is very nice 🙂👍
4.0,JAISA SOCHA THA BILKUL VAISA HAI BAS KAPDA RADDI CVALITI KA HAI
4.1,Sar Jo aapane Kapda Diya Sar vah donon side mein tight Ho Raha Hai Sar Tumhen Charon Ek apra aap chase kar dijiye thoda sa thoda sa Halka wala matlab aise thoda loose wala Kapda Hota Achcha Hua Sar please
4.2,"Such a amazing kurti according to price, it's really beautiful I am so happy 🥰 but after washing it's little bit tight so you should take a slightly larger one according to your size"
4.1,This is very good but if you want xl then order xxl because this cloth shrinks. So just order a big size such that you can get normal size after wash.
4.1,So beautiful dress hme bahut achha laga AAP sb bhi le sakte hai bahut achha hai 💯💯💯💯💯
4.1,Fabric is so soft..... Bohot accha colour bhi hai same design 😘😘😘😘😘❤❤❤❤❤I stolen my heart on this suit ❤
3.9,Cloth is very comfortable and Awesome dress at low price...I really loved it....thnx meesho
4.2,Very very very very very very very very very very very very very much good 🙂🙂🙂😉
4.2,Product is very good you can purchase
4.0,Super I am very happy thank u meesho
3.8,Very very beautiful dress s size. I am so happy 😁😁😁😁😁😁
4.1,Acha hai but single kurta hai pant ya plazo nhi hai baki sab okay okay hai 😊
5.0,Very nice product thank you meesho
5.0,Very very very good👍 and best😘😘😘😘😘
5.0,Bahut bahut accha hai top am so happy thanks meeshu😊
5.0,Super 👍😊 kapar nice bahut bhut khush ho meshoo thanku
5.0,It's very good product the leather is not soo good 😊👍
5.0,But isme Jo pent dikhaya hai use bhi Dena chahiye tha
5.0,Verry nice kurti but kapdha thoda halka h otherwise good
5.0,It's very beautiful kurti and come as same like an picture
5.0,Very nice product 😍the cloth is so soft and pure cotton ❤️tq meesho
5.0,It's pure cotton really amazing haven't expected this much quality
5.0,"Its quality is very good , i loved it 🥰 thank u meesho"
5.0,Thanks messho very good product l like this product🥰🥰🥰♥️
5.0,bahut acchi I hai fitting bhi mast Aayi Hai
5.0,Best hai Kapda ka comedy v theek hai
5.0,Nice Product same Product
5.0,Ssssuuuuupppppprrrrrrrrrbbbbb
5.0,Very good product and very good quality nice 👍
5.0,Very good product 👍 I really appreciate 😁.
5.0,Nice product thanx meesho
5.0,Very nice product yrr thank you so much 🥳🥳🥳💞💞
5.0,Very good kapde ki kwality bhi achi hai
5.0,Nice products ❤️ nice cloth
5.0,Colour and kpda is the best
5.0,Bahut achcha hai jaisa soche the vaisa hi aaya hai price ke according aap sabhi le sakti ho thank you mesho
5.0,Thanks meesho so beautiful kurti 😊
5.0,This is very good😘 I loved it
5.0,Osm thinks meeso my first order for kurta set
5.0,Bhot mst aaya hai I am very happy 🥰🤗
5.0,Nice product too good thank you meesho 🥰👌👌👌👌
5.0,Good colour & size very nice product 👍
5.0,I love it bohut accha kurti aaya hai 🫶🏻
5.0,Real main kurti bouht achi aayi h ❤
5.0,Best quality thanks 🙏 best
5.0,Good quality fabric with nice color and design
5.0,Thanks aap hmara gift lay vo bhut acha h
